Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 1u>, void (unsigned int const&, double&), SPH* const>::manager<SPH::internalForces()::{lambda(unsigned int const&, double&)#1}>::do_call(void*, unsigned int const&, double&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 3u>, void (unsigned int const&), SPH* const>::manager<SPH::internalForces()::{lambda(unsigned int const&)#3}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 5u>, void (unsigned int const&), SPH* const>::manager<SPH::internalForces()::{lambda(unsigned int const&)#5}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(double), &SPH::advanceParticles, 2u>, void (unsigned int const&), SPH* const, double const, double const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::sumDensity, 3u>, void (unsigned int const&), SPH* const, vec3<double>, double>::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::updateHsml, 1u>, void (unsigned int const&), SPH* const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 1u>, void (unsigned int const&, double&), SPH* const>::operator()(unsigned int const&, double&) const
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::internalForces, 5u>, void (unsigned int const&), SPH* const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  Kernel::computeKernel(double&, vec3<double>&, vec3<double>, double, double) const
  0.00      0.58     0.00   200100     0.00     0.00  Kernel::cubic(double&, vec3<double>&, vec3<double>, double, double) const
  0.00      0.58     0.00   200100     0.00     0.00  SPH::sumDensity()::{lambda(unsigned int const&)#3}::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  SPH::updateHsml()::{lambda(unsigned int const&)#1}::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  SPH::internalForces()::{lambda(unsigned int const&)#3}::operator()(unsigned int const&) const
  0.00      0.58     0.00   200100     0.00     0.00  SPH::advanceParticles(double)::{lambda(unsigned int const&)#2}::operator()(unsigned int const&) const
  0.00      0.58     0.00   200000     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(double), &SPH::advanceParticlesHalfStep, 2u>, void (unsigned int const&), SPH* const, double const>::manager<SPH::advanceParticlesHalfStep(double)::{lambda(unsigned int const&)#2}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   200000     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(double), &SPH::advanceParticlesHalfStep, 2u>, void (unsigned int const&), SPH* const, double const>::operator()(unsigned int const&) const
  0.00      0.58     0.00   200000     0.00     0.00  SPH::advanceParticlesHalfStep(double)::{lambda(unsigned int const&)#2}::operator()(unsigned int const&) const
  0.00      0.58     0.00   192416     0.00     0.00  Kokkos::Impl::cuda_max_active_blocks_per_sm(cudaDeviceProp const&, cudaFuncAttributes const&, int, unsigned long)
  0.00      0.58     0.00   192416     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.58     0.00   192416     0.00     0.00  std::initializer_list<int>::end() const
  0.00      0.58     0.00   192416     0.00     0.00  std::initializer_list<int>::size() const
  0.00      0.58     0.00   192416     0.00     0.00  int const* std::min_element<int const*>(int const*, int const*)
  0.00      0.58     0.00   192416     0.00     0.00  int const* std::__min_element<int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.58     0.00   192416     0.00     0.00  int std::min<int>(std::initializer_list<int>)
  0.00      0.58     0.00   190174     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.58     0.00   190174     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.58     0.00   190174     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.58     0.00   190174     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.58     0.00   190174     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.58     0.00   188172     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.58     0.00   166132     0.00     0.00  std::numeric_limits<int>::max()
  0.00      0.58     0.00   166110     0.00     0.00  Kokkos::Impl::SharedAllocationRecord<void, void>::tracking_enabled()
  0.00      0.58     0.00   124102     0.00     0.00  long& std::forward<long&>(std::remove_reference<long&>::type&)
  0.00      0.58     0.00   124102     0.00     0.00  long&& std::forward<long>(std::remove_reference<long>::type&)
  0.00      0.58     0.00   120115     0.00     0.00  Kokkos::OpenMP::in_parallel(Kokkos::OpenMP const&)
  0.00      0.58     0.00   114057     0.00     0.00  Kokkos::RangePolicy<Kokkos::OpenMP, Kokkos::IndexType<int> >::begin() const
  0.00      0.58     0.00    92055     0.00     0.00  Kokkos::Impl::ViewTracker<Kokkos::View<unsigned int, Kokkos::CudaSpace> >::~ViewTracker()
  0.00      0.58     0.00    92055     0.00     0.00  Kokkos::View<unsigned int, Kokkos::CudaSpace>::~View()
  0.00      0.58     0.00    92046     0.00     0.00  Kokkos::Impl::ViewTracker<Kokkos::View<unsigned int, Kokkos::CudaSpace> >::ViewTracker(Kokkos::Impl::ViewTracker<Kokkos::View<unsigned int, Kokkos::CudaSpace> > const&)
  0.00      0.58     0.00    92046     0.00     0.00  Kokkos::View<unsigned int, Kokkos::CudaSpace>::View(Kokkos::View<unsigned int, Kokkos::CudaSpace> const&)
  0.00      0.58     0.00    72041     0.00     0.00  Kokkos::RangePolicy<Kokkos::OpenMP>::begin() const
  0.00      0.58     0.00    66042     0.00     0.00  Kokkos::Impl::SharedAllocationRecord<void, void>::tracking_enable()
